route_id,total_departures,median_headways,mean_headways,st_dev_headways,stop_count
10,2111,3323,2578,861.1,112
11,9442,635,1300,814.49,199
12,2067,1662,1653,47.26,79
14,8552,919,1216,435.22,216
15,7308,919,1326,642.78,191
16,12216,1490,1610,1709.82,358
17,7277,960,1230,403.78,189
18,11405,665,1754,3917.97,219
19,7545,1600,1337,389.74,210
20,3584,1964,1990,41.83,165
21,8798,847,1351,885.44,175
22,1674,4800,4712,2930.78,122
23,1694,1440,1431,56.89,56
24,4911,1054,1056,12.06,120
25,646,4800,5961,1378.21,85
26,1965,2700,2704,27.88,123
28,995,6171,5765,2360.4,112
29,2467,1440,1436,21.31,82
30,258,8640,9764,1632.91,57
31,979,7200,7853,3360.91,147
32,1229,5400,5528,2805.72,128
33,4451,2400,1836,600.86,168
330,800,1800,1783,31.33,33
334,444,4320,5790,3341.29,50
34,462,7200,10865,5071.48,99
35,455,7406,13826,10812.1,96
36,1998,2400,2453,977.21,105
38,3409,1490,1509,25.43,119
40,636,5246,6186,2101.19,82
41,830,4800,6094,2778.23,94
42,644,4800,9506,5424.2,105
43,1743,2700,2654,72.47,107
44,4773,2400,1967,614.67,194
45,2343,1800,1808,36.32,98
46,709,7200,7050,1407.47,111
47,9531,785,1063,364.82,211
48,500,7200,11000,5106.21,108
49,679,10800,9680,3960.06,127
50,1251,5400,5372,1147.61,149
53,294,4124,6421,4163.08,34
54,787,7200,8944,4330.58,129
55,5453,939,1254,388.44,144
56,438,6171,5940,356.3,60
57,554,8640,8940,3083.9,103
58,840,8640,12479,9553.37,159
59,984,7200,9629,4978.82,170
60,5706,785,787,16.17,104
635,786,1440,1429,19.76,26
641,842,2160,2155,22.2,42
642,1190,1600,1597,12.01,44
649,2230,1800,1822,47.91,94
65,930,4860,8113,5266.1,130
650,1885,1878,1880,37.67,82
66,5141,1878,1545,494.42,163
662,2372,1878,1914,51.72,105
67,1408,4800,5185,2006.69,155
671,1489,1878,1886,25.09,65
672,1642,1878,1895,34.28,72
676,3405,1309,1703,676.19,120
677,1349,1836,1901,678.9,52
68,1152,2400,2439,63.59,65
690,648,3927,3514,643.61,51
691,1090,3600,3605,537.04,89
693,744,2541,3586,1835.64,52
694,972,3927,3785,163.09,85
71,4107,1878,1605,435.43,138
74,2796,1728,1716,30.64,111
75,3777,1108,1292,416.29,105
77,10640,1168,1167,40.53,287
78,3962,1005,1015,15.29,93
79,2041,2541,3991,3644.42,134
82,1156,2400,2468,71.01,66
83,2110,2541,3986,3269.55,146
85,1985,3086,3028,92.89,139
86,185,10800,14526,4662.41,57
87,225,14400,13702,4471.05,65
88,1703,1964,2005,46.49,79
89,884,3927,3770,164.45,77
90,2558,2880,4055,1391.22,213
91,1270,1662,1634,31.22,48
92,647,3927,3940,71.73,59
93,1304,3600,3516,127.77,106
95,2362,2700,3098,679.05,163
96,924,6171,5827,422.14,124
97,656,5400,5154,297.04,78
98,857,6171,6016,310.68,119
BLUE,8186,554,521,176.25,88
